Pos_x,Dir_x,Team_x,P,W_x,D_x,L_x,GF_x,GA_x,DIFF_x,Points_x,Season,TEAM_x,HOMECODE,AWAYCODE_x,TC_x,AWAYCODE_y,TIMEr_x,HTR_x,FTR_x,HT_home_goals_x,HT_away_goals_x,FT_home_goals_x,FT_away_goals_x,Sum_Goals_x,HT_Results_1_0_2_x,FT_Results_1_0_2_x,Under_Over_1.5_x,Under_Over_2.5_x,Under_Over_3.5_x,Pos_y,Dir_y,Team_y,W_y,D_y,L_y,GF_y,GA_y,DIFF_y,Points_y,TEAM_y,HOMECODE_x,AWAYCODE,TC_y,HOMECODE_y,TIMEr_y,HTR_y,FTR_y,HT_home_goals_y,HT_away_goals_y,FT_home_goals_y,FT_away_goals_y,Sum_Goals_y,HT_Results_1_0_2_y,FT_Results_1_0_2_y,Under_Over_1.5_y,Under_Over_2.5_y,Under_Over_3.5_y
3,0,VFL Rome,1,1,0,0,1,0,1,3,Season 58804,ROME,5,5,ROME AMSTERDAM,2,13:42,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,15,0,VFL Amsterdam,0,0,1,0,1,-1,0,AMSTERDAM,2,2,ROME AMSTERDAM,5,13:42,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
4,0,VFL Bern,1,0,1,0,2,2,0,1,Season 58804,BERN,16,16,BERN EDINBURGH,15,13:42,1:0,2:2,1,  0,2,  2,4.0,1,0,1,1,1,4,0,VFL Edinburgh,0,1,0,2,2,0,1,EDINBURGH,15,15,BERN EDINBURGH,16,13:42,1:0,2:2,1,  0,2,  2,4.0,1,0,1,1,1
6,0,VFL Athens,1,0,1,0,1,1,0,1,Season 58804,ATHENS,10,10,ATHENS BERLIN,3,13:42,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0,6,0,VFL Berlin,0,1,0,1,1,0,1,BERLIN,3,3,ATHENS BERLIN,10,13:42,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0
6,0,VFL Brussels,1,0,1,0,1,1,0,1,Season 58804,BRUSSELS,9,9,BRUSSELS LISBON,7,13:42,0:0,1:1,0,  0,1,  1,2.0,0,0,1,0,0,6,0,VFL Lisbon,0,1,0,1,1,0,1,LISBON,7,7,BRUSSELS LISBON,9,13:42,0:0,1:1,0,  0,1,  1,2.0,0,0,1,0,0
10,0,VFL Copenhagen,1,0,1,0,0,0,0,1,Season 58804,COPENHAGEN,12,12,COPENHAGEN VIENNA,13,13:42,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,10,0,VFL Vienna,0,1,0,0,0,0,1,VIENNA,13,13,COPENHAGEN VIENNA,12,13:42,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
10,0,VFL Oslo,1,0,1,0,0,0,0,1,Season 58804,OSLO,6,6,OSLO PARIS,8,13:42,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,10,0,VFL Paris,0,1,0,0,0,0,1,PARIS,8,8,OSLO PARIS,6,13:42,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
14,0,VFL London,1,0,0,1,1,2,-1,0,Season 58804,LONDON,4,4,LONDON STOCKHOLM,11,13:42,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0,2,0,VFL Stockholm,1,0,0,2,1,1,3,STOCKHOLM,11,11,LONDON STOCKHOLM,4,13:42,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0
16,0,VFL Ankara,1,0,0,1,0,5,-5,0,Season 58804,ANKARA,14,14,ANKARA MADRID,1,13:42,0:4,0:5,0,  4,0,  5,5.0,2,2,1,1,1,1,0,VFL Madrid,1,0,0,5,0,5,3,MADRID,1,1,ANKARA MADRID,14,13:42,0:4,0:5,0,  4,0,  5,5.0,2,2,1,1,1
3,-1,VFL Berlin,2,1,1,0,4,2,2,4,Season 58804,BERLIN,3,3,BERLIN BRUSSELS,9,13:47,2:0,3:1,2,  0,3,  1,4.0,1,1,1,1,1,13,1,VFL Brussels,0,1,1,2,4,-2,1,BRUSSELS,9,9,BERLIN BRUSSELS,3,13:47,2:0,3:1,2,  0,3,  1,4.0,1,1,1,1,1
6,1,VFL Madrid,2,1,0,1,5,3,2,3,Season 58804,MADRID,1,1,MADRID LONDON,4,13:47,0:0,0:3,0,  0,0,  3,3.0,0,2,1,1,0,7,-1,VFL London,1,0,1,4,2,2,3,LONDON,4,4,MADRID LONDON,1,13:47,0:0,0:3,0,  0,0,  3,3.0,0,2,1,1,0
